Text;Annotations;ner_tags
"[ ""'"", ""''"", ""Francja"", ""''"", ""'"" ]";[0,0,5,0,0];[ 0, 0, 5, 0, 0 ]
"[ ""John"", ""Isner"", ""''"", ""'6:4"", "","", ""7:6"", ""("", ""5"", "")"", ""'"", ""''"" ]";[1,2,0,0,0,0,0,0,0,0,0];[ 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0 ]
"[ ""Budynek"", ""dworca"", ""jest"", ""zbudowany"", ""według"", ""tego"", ""samego"", ""projektu"", ""co"", ""dworzec"", ""w"", ""Colmar"", ""."" ]";[0,0,0,0,0,0,0,0,0,0,0,5,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 5, 0 ]
"[ ""Demigod"", ""''"", ""-"", ""Behemoth"" ]";[3,0,0,3];[ 3, 0, 0, 3 ]
"[ ""PATRZ"", ""Khondokar"", ""Mośtak"", ""Ahmed"" ]";[0,1,2,2];[ 0, 1, 2, 2 ]
"[ ""W"", ""podziemiu"", ""związany"", ""z"", ""Solidarnością"", ""Walczącą"", ""."" ]";[0,0,0,0,3,4,0];[ 0, 0, 0, 0, 3, 4, 0 ]
"[ ""'"", ""''"", ""Lourdes"", ""Domínguez"", ""Lino"", ""Arantxa"", ""Parra"", ""Santonja"" ]";[0,0,1,2,2,1,2,2];[ 0, 0, 1, 2, 2, 1, 2, 2 ]
"[ ""**"", ""Prezydent"", ""Niemiec"", ""Christian"", ""Wulff"", ""ustąpił"", ""ze"", ""stanowiska"", ""z"", ""powodu"", ""zarzutów"", ""korupcyjnych"", ""."" ]";[0,1,2,1,2,0,0,0,0,0,0,0,0];[ 0, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0 ]
"[ ""Lemat"", ""o"", ""pompowaniu"", ""dla"", ""języków"", ""regularnych"" ]";[ 3, 4, 4, 4, 4, 4 ];[ 3, 4, 4, 4, 4, 4 ]
"[ ""W"", ""zawodach"", ""tych"", ""wyprzedziły"", ""ją"", ""jedynie"", ""Brytyjka"", ""Victoria"", ""Pendleton"", ""oraz"", ""Chinka"", ""Guo"", ""Shuang"", ""."" ]";[0,0,0,0,0,0,0,1,2,0,0,1,2,0];[ 0, 0, 0, 0, 0, 0, 5, 1, 2, 0, 5, 1, 2, 0 ]
"[ ""Obwód"", ""Nadnotecki"", ""("", ""1772-1807"", "")"" ]";[5,6,0,0,0];[ 5, 6, 0, 0, 0 ]
"[ ""'"", ""''"", ""Reprezentacja"", ""kobiet"", ""''"", ""'"" ]";[0,0,0,0,0,0];[ 0, 0, 3, 4, 0, 0 ]
"[ ""Ślub"", ""odbył"", ""się"", ""w"", ""Pałacu"", ""Zimowym"", ""w"", ""Petersburgu"", ""."" ]";[0,0,0,0,5,6,0,5,0];[ 0, 0, 0, 0, 3, 4, 0, 5, 0 ]
"[ ""**"", ""Kompania"", ""zaopatrzenia"", ""i"", ""obsługi"", ""("", ""Grootfontein"", "")"" ]";[0,0,0,0,0,0,5,0];[ 0, 0, 0, 0, 0, 0, 5, 0 ]
"[ ""'"", ""''"", ""Mary"", ""Joe"", ""Fernández"", ""''"", ""'"" ]";[0,0,1,2,2,0,0];[ 0, 0, 1, 2, 2, 0, 0 ]
"[ ""Mieści"", ""się"", ""tu"", ""filia"", ""Uniwersytetu"", ""Egejskiego"", ""."" ]";[0,0,0,0,3,4,0];[ 0, 0, 0, 0, 3, 4, 0 ]
"[ ""Estudiantes"", ""Buenos"", ""Aires"", ""–"", ""San"", ""Isidro"", ""Buenos"", ""Aires"", ""1:0"" ]";[3,4,4,0,3,4,4,4,0];[ 3, 4, 4, 0, 3, 4, 4, 4, 0 ]
"[ ""część"", ""wód"", ""jeziora"", ""Wigry"" ]";[0,0,5,6];[ 0, 0, 5, 6 ]
"[ ""Hrabstwo"", ""Adams"", ""("", ""południe"", "")"" ]";[5,6,0,0,0];[ 5, 6, 0, 0, 0 ]
"[ ""Pochowany"", ""został"", ""na"", ""Cmentarzu"", ""Powązkowskim"", ""w"", ""Warszawie"", ""."" ]";[0,0,0,5,6,0,5,0];[ 0, 0, 0, 5, 6, 6, 6, 0 ]
"[ ""Wysiadł"", ""dopiero"", ""w"", ""Paryżu"", ""."" ]";[0,0,0,5,0];[ 0, 0, 0, 5, 0 ]
"[ ""Wielka"", ""Ławra"", "","", ""Γ"", ""'"", ""100"" ]";[3,4,0,0,0,0];[ 3, 4, 0, 0, 0, 0 ]
"[ ""Urodził"", ""się"", ""i"", ""wychował"", ""w"", ""małym"", ""miasteczku"", ""Albany"", ""w"", ""stanie"", ""Nowy"", ""Jork"", ""."" ]";[0,0,0,0,0,0,0,5,0,5,6,6,0];[ 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 6, 6, 0 ]
"[ ""Eartha"", ""Kitt"", ""–"", ""'"", ""''"", ""Yzma"", ""''"", ""'"" ]";[1,2,0,0,0,1,0,0];[ 1, 2, 0, 0, 0, 0, 0, 0 ]
"[ ""'"", ""''"", ""Najibabad"", ""''"", ""'"", ""–"", ""miasto"", ""w"", ""północnych"", ""Indiach"", ""w"", ""stanie"", ""Uttar"", ""Pradesh"", "","", ""na"", ""Nizinie"", ""Hindustańskiej"", ""."" ]";[0,0,5,0,0,0,0,0,0,5,0,0,5,6,0,0,5,6,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 6, 0, 0, 5, 6, 0 ]
"[ ""Szybko"", ""przeszedł"", ""jednak"", ""do"", ""miejscowego"", ""rywala"", "","", ""Valencii"", ""."" ]";[0,0,0,0,0,0,0,5,0];[ 0, 0, 0, 0, 0, 0, 0, 3, 0 ]
"[ ""Wharton"", ""William"", ""("", ""1925-2008"", "")"" ]";[1,2,0,0,0];[ 1, 2, 0, 0, 0 ]
"[ ""Aleksander"", ""Bardini"", ""("", ""narrator"", "")"" ]";[1,2,0,0,0];[ 1, 2, 0, 0, 0 ]
"[ ""Był"", ""członkiem"", ""PPR"", ""i"", ""PZPR"", ""."" ]";[0,0,3,0,3,0];[ 0, 0, 3, 0, 3, 0 ]
"[ ""Przewieziony"", ""do"", ""Smoleńska"", ""został"", ""poddany"", ""morderczemu"", ""śledztwu"", ""przez"", ""funkcjonariuszy"", ""Czeka"", ""."" ]";[0,0,5,0,0,0,0,0,0,3,0];[ 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 0 ]
"[ ""Występuje"", ""na"", ""terenie"", ""Azji"", ""w"", ""Syrii"", ""i"", ""Turcji"", ""."" ]";[0,0,0,5,0,5,0,5,0];[ 0, 0, 0, 5, 0, 5, 0, 5, 0 ]
"[ ""Jednak"", ""już"", ""następne"", ""wybory"", "","", ""w"", ""1955"", ""roku"", ""okazały"", ""się"", ""dużym"", ""sukcesem"", ""."" ]";[0,0,0,0,0,0,0,0,0,0,0,0,0,0];[ 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0 ]
"[ ""Był"", ""członkiem"", ""Royal"", ""Society"", ""oraz"", ""wielu"", ""innych"", ""stowarzyszeń"", ""naukowych"", "","", ""m.in"", ""."" ]";[0,0,3,4,0,0,0,0,0,0,0,0];[ 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0 ]
"[ ""Jest"", ""to"", ""też"", ""pierwszy"", ""album"", ""na"", ""którym"", ""w"", ""ogóle"", ""nie"", ""występuje"", ""perkusista"", ""–"", ""założyciel"", ""grupy"", ""David"", ""Silveria"", ""."" ]";[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0 ]
"[ ""University"", ""of"", ""Texas"", ""at"", ""Austin"" ]";[3,4,4,4,4];[ 3, 4, 4, 4, 4 ]
"[ ""EV"", ""Landshut"", ""("", ""2"", "")"" ]";[3,4,0,0,0];[ 3, 4, 0, 0, 0 ]
"[ ""Galicyjska"", ""Kolej"", ""Transwersalna"" ]";[3,4,4];[ 3, 4, 4 ]
"[ ""Tarcal"", ""("", ""Węgry"", "")"" ]";[5,0,5,0];[ 5, 0, 5, 0 ]
"[ ""Kilka"", ""lat"", ""później"", ""zezwolono"", ""na"", ""publikację"", ""jego"", ""dzieł"", ""w"", ""Związku"", ""Radzieckim"", ""."" ]";[0,0,0,0,0,0,0,0,5,6,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0 ]
"[ ""Uchodzi"", ""do"", ""Kury"", ""jako"", ""jej"", ""prawobrzeżny"", ""dopływ"", ""."" ]";[0,0,5,0,0,0,0,0];[ 0, 0, 5, 0, 0, 0, 0, 0 ]
"[ ""W"", ""Europie"", ""jest"", ""ona"", ""znacznie"", ""niższa"", "","", ""i"", ""szacowana"", ""na"", ""1:330"", ""000"", ""do"", ""1:200"", ""000"", "","", ""chociaż"", ""nie"", ""ma"", ""w"", ""piśmiennictwie"", ""dokładnych"", ""danych"", ""na"", ""ten"", ""temat"", ""."" ]";[0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];[ 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ]
"[ ""Wilhelm"", ""Brem"", ""''"", ""Niemcy"", ""("", ""GER"", "")"", ""''"" ]";[1,2,0,5,0,0,0,0];[ 1, 2, 0, 5, 0, 0, 0, 0 ]
"[ ""Centrum"", ""Demokratyczne"", ""i"", ""Społeczne"", ""–"", ""Partia"", ""Ludowa"" ]";[3,4,4,4,4,4,4];[ 3, 4, 4, 4, 4, 4, 4 ]
"[ ""("", ""12"", "")"", ""Carl"", ""Stonehewer"", ""("", ""'"", ""''"", ""Wielka"", ""Brytania"", ""''"", ""'"", "")"" ]";[0,0,0,1,2,0,0,0,5,6,0,0,0];[ 0, 0, 0, 1, 2, 0, 0, 0, 5, 6, 0, 0, 0 ]
"[ ""Dordrecht"", ""("", ""7"", ""na"", ""mapie"", "")"" ]";[5,0,0,0,0,0];[ 5, 0, 0, 0, 0, 0 ]
"[ ""Trzęsienie"", ""ziemi"", ""na"", ""Sumatrze"", "","", ""2005"" ]";[0,0,0,5,0,0];[ 3, 4, 4, 4, 4, 4 ]
"[ ""Razem"", ""z"", ""nim"", ""straciła"", ""cały"", ""majątek"", ""finansowy"", ""na"", ""rzecz"", ""Michèle"", ""Bennett"", ""."" ]";[0,0,0,0,0,0,0,0,0,1,2,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0 ]
"[ ""'"", ""''"", ""Yogi"", ""Berra"", ""''"", ""'"", ""("", ""3"", "")"" ]";[0,0,1,2,0,0,0,0,0];[ 0, 0, 1, 2, 0, 0, 0, 0, 0 ]
"[ ""Medal"", ""30-lecia"", ""Polski"", ""Ludowej"", "","" ]";[3,4,4,4,0];[ 3, 4, 4, 4, 0 ]
"[ ""Zbigniew"", ""Libera"", ""("", ""ur"", ""."" ]";[1,2,0,0,0];[ 1, 2, 0, 0, 0 ]
"[ ""''nie"", ""zakwalifikowała"", ""się"", ""''"", ""-"", ""1992"" ]";[0,0,0,0,0,0];[ 0, 0, 0, 0, 0, 3 ]
"[ ""Arthur"", ""Newton"", ""George"", ""Underwood"", ""Paul"", ""Pilgrim"", ""Howard"", ""Valentine"", ""David"", ""Munson"" ]";[1,2,1,2,1,2,1,2,1,2];[ 1, 2, 1, 2, 1, 2, 1, 2, 1, 2 ]
"[ ""Edit"", ""Bauer"", "","", ""Árpád"", ""Duka-Zólyomi"" ]";[1,2,0,1,2];[ 1, 2, 0, 1, 2 ]
"[ ""Edward"", ""VI"", ""Tudor"" ]";[1,2,2];[ 1, 2, 2 ]
"[ ""Od"", ""sezonu"", ""2014"", ""/"", ""2015"", ""gra"", ""w"", ""zespole"", ""."" ]";[0,0,0,0,0,0,0,0,0];[ 0, 0, 5, 6, 6, 0, 0, 0, 0 ]
"[ ""Unión"", ""Santa"", ""Fe"", ""-"", ""Belgrano"", ""Córdoba"", ""0:0"" ]";[3,4,4,0,3,4,0];[ 3, 4, 4, 0, 3, 4, 0 ]
"[ "";"", ""Liberalna"", ""Partia"", ""Manitoby"", ""–"", ""1"" ]";[0,3,4,4,0,0];[ 0, 3, 4, 4, 0, 0 ]
"[ ""z"", ""takimi"", ""grupami"", ""muzycznymi"", ""jak"", ""Death"", "","", ""Deicide"", "","", ""Cannibal"", ""Corpse"", "","", ""Sepultura"", "","", ""Obituary"", "","", ""Atheist"", "","", ""Malevolent"", ""Creation"", "","", ""Suffocation"", "","", ""Morgoth"", ""czy"", ""Cynic"", ""."" ]";[0,0,0,0,0,3,0,3,0,3,4,0,3,0,3,0,3,0,3,4,0,3,0,3,0,3,0];[ 0, 0, 0, 0, 0, 3, 0, 3, 0, 3, 4, 0, 3, 0, 3, 0, 3, 0, 3, 4, 0, 3, 0, 3, 0, 3, 0 ]
"[ ""Występuje"", ""na"", ""terenie"", ""Ameryki"", ""Południowej"", ""."" ]";[0,0,0,5,6,0];[ 0, 0, 0, 5, 6, 0 ]
"[ ""Zamieszkała"", ""w"", ""majątku"", ""Porochońsk"", ""na"", ""Polesiu"", ""."" ]";[0,0,0,0,0,5,0];[ 0, 0, 0, 0, 0, 5, 0 ]
"[ ""Mieszka"", ""w"", ""Atlancie"", ""w"", ""stanie"", ""Georgia"", ""."" ]";[0,0,5,0,0,5,0];[ 0, 0, 5, 0, 0, 5, 0 ]
"[ ""Grekokatolicy"", ""–"", ""62,86"", ""%"" ]";[3,0,0,0];[ 3, 0, 0, 0 ]
"[ ""Zofia"", ""Wittelsbach"", ""("", ""1805-1872"", "")"" ]";[1,2,0,0,0];[ 1, 2, 0, 0, 0 ]
"[ ""Do"", ""rozgrywek"", ""przystąpiło"", ""wszystkie"", ""dziesięć"", ""zespołów"", ""najwyższej"", ""klasy"", ""rozgrywkowej"", "","", ""pozbawionych"", ""reprezentantów"", ""kraju"", ""."" ]";[0,0,0,0,0,0,0,0,0,0,0,0,0,0];[ 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 3, 4, 0 ]
"[ ""Obydwaj"", ""ponieśli"", ""śmierć"", ""w"", ""obozie"", ""Auschwitz-Birkenau"", ""."" ]";[0,0,0,0,0,3,0];[ 0, 0, 0, 0, 0, 3, 0 ]
"[ ""``"", ""Waterloo"", ""''"", ""–"", ""2:44"" ]";[0,5,0,0,0];[ 0, 3, 0, 0, 0 ]
"[ ""Po"", ""nim"", ""skakało"", ""jeszcze"", ""czterech"", ""zawodników"", "","", ""a"", ""wyprzedził"", ""go"", ""jedynie"", ""Anders"", ""Bardal"", ""."" ]";[0,0,0,0,0,0,0,0,0,0,1,2,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0 ]
"[ ""'"", ""''"", ""Mittelbiberach"", ""''"", ""'"" ]";[0,0,5,0,0];[ 0, 0, 5, 0, 0 ]
"[ ""Początkowo"", ""miał"", ""to"", ""zrobić"", ""Milo"", ""."" ]";[0,0,0,0,1,0];[ 0, 0, 0, 0, 3, 0 ]
"[ ""Jest"", ""bohaterem"", ""reportażu"", ""„Hamlet”"", ""Hanny"", ""Krall"", "","", ""wydrukowanego"", ""w"", ""zbiorach"", ""''Dowody"", ""na"", ""istnienie"", ""''"", ""i"", ""''Żal"", ""''"", ""."" ]";[0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0];[ 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ]
"[ ""W"", ""latach"", ""2009-2011"", ""grał"", ""w"", ""tym"", ""klubie"", ""w"", ""rozgrywkach"", ""Segunda"", ""División"", ""B"", ""."" ]";[0,0,0,0,0,0,0,0,0,3,4,4,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0 ]
"[ ""Pod"", ""względem"", ""tekstualnym"", ""najbliższy"", ""jest"", ""bizantyńskiej"", ""tradycji"", ""tekstualnej"", ""."" ]";[0,0,0,0,0,0,0,0];[ 0, 0, 0, 0, 0, 3, 0, 0, 0 ]
"[ ""Beer"", ""Szewa"", "","", ""Izrael"" ]";[5,6,0,5];[ 5, 6, 0, 5 ]
"[ ""W"", ""ciągu"", ""swoich"", ""rządów"", "","", ""szczególnie"", ""odwiedzał"", ""kilkakrotnie"", ""Góry"", ""Kunlun"", ""."" ]";[0,0,0,0,0,0,0,0,5,6,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0 ]
"[ ""Andrzej"", ""Fedorowicz"", ""("", ""ur"", ""."" ]";[1,2,0,0,0];[ 1, 2, 0, 0, 0 ]
"[ ""prof."", ""'"", ""''"", ""Anna"", ""Wolff-Powęska"", ""''"", ""'"", ""–"", ""historyk"", "","", ""specjalista"", ""w"", ""zakresie"", ""stosunków"", ""polsko-niemieckich"", "","", ""dyrektor"", ""Instytutu"", ""Zachodniego"", ""w"", ""Poznaniu"", ""w"", ""latach"", ""1990-2004"" ]";[0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0];[ 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 5, 0, 0, 0 ]
"[ ""Ulica"", ""Alberta"", ""w"", ""Rydze"" ]";[5,6,0,5];[ 3, 4, 4, 4 ]
"[ ""PATRZ"", ""Chris"", ""Smith"", ""("", ""amerykański"", ""polityk"", "")"" ]";[0,1,2,2,2,2,2];[ 0, 1, 2, 2, 2, 2, 2 ]
"[ ""Zjednoczone"", ""Stronnictwo"", ""Ludowe"" ]";[3,4,4];[ 3, 4, 4 ]
"[ ""'"", ""''"", ""Liza"", ""Minnelli"", ""''"", ""'"" ]";[0,0,1,2,0,0];[ 0, 0, 1, 2, 0, 0 ]
"[ ""Vila"", ""Nova"", ""Goiânia"", ""-"", ""Anapolina"", ""Anápolis"", ""1:0Fernandinho"" ]";[3,4,4,0,3,4,0];[ 3, 4, 4, 0, 3, 4, 0 ]
"[ ""Miejscowość"", ""jest"", ""siedzibą"", ""gminy"", ""Wiśniewo"", ""."" ]";[0,0,0,5,6,0];[ 0, 0, 0, 5, 6, 0 ]
"[ ""Kamla"", ""Persad-Bissessar"", ""("", ""1952–"", "")"" ]";[1,2,0,0,0];[ 1, 2, 0, 0, 0 ]
"[ ""Placówka"", ""I"", ""linii"", ""Wojsk"" ]";[0,0,0,5];[ 0, 0, 0, 5 ]
"[ ""Jakov"", ""Fak"", ""''"", ""Słowenia"", ""("", ""SLO"", "")"", ""''"" ]";[1,2,0,5,0,0,0,0];[ 1, 2, 0, 5, 0, 0, 0, 0 ]
"[ ""Maria"", ""Karolina"", ""Habsburg"", ""("", ""1752-1814"", "")"" ]";[1,2,2,0,0,0];[ 1, 2, 2, 0, 0, 0 ]
"[ ""Występuje"", ""na"", ""terenie"", ""Ameryki"", ""Północnej"", ""."" ]";[0,0,0,5,6,0];[ 0, 0, 0, 5, 6, 0 ]
"[ ""Załogę"", ""jachtu"", ""''Taifun"", ""''"", ""tworzyli"", ""również"", ""Christian"", ""Jebe"", "","", ""Thoralf"", ""Glad"", "","", ""Thomas"", ""Aass"", ""i"", ""Andreas"", ""Brecke"", ""."" ]";[0,0,0,0,0,0,1,2,0,1,2,0,1,2,0,1,2,0];[ 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0 ]
"[ ""Robin"", ""Hull"", ""9–2"", ""Mark"", ""King"" ]";[1,2,0,1,2];[ 1, 2, 0, 1, 2 ]
"[ ""Udział"", ""Trenta"", ""Reznora"", ""nie"", ""jest"", ""odnotowany"", ""w"", ""książeczce"", "","", ""mimo"", ""że"", ""jest"", ""powszechnie"", ""znany"", ""."" ]";[0,1,2,0,0,0,0,0,0,0,0,0,0,0,0];[ 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ]
"[ ""Kobe"", ""Bryant"", "","", ""José"", ""Luis"", ""Rodríguez"", ""Zapatero"", "","", ""Christo"", ""Stoiczkow"", ""i"", ""José"", ""Carreras"", ""."" ]";[1,2,0,1,2,2,2,0,1,2,0,1,2,0];[ 1, 2, 0, 1, 2, 2, 2, 0, 1, 2, 0, 1, 2, 0 ]
"[ ""Hrabstwo"", ""Unicoi"", ""("", ""Tennessee"", "")"" ]";[5,6,6,6,6];[ 5, 6, 6, 6, 6 ]
"[ ""podczas"", ""swej"", ""wizyty"", ""w"", ""Skoczowie"", ""."" ]";[0,0,0,0,5,0];[ 0, 0, 0, 0, 5, 0 ]
"[ ""Autorem"", ""pojęcia"", ""„shortageflation”"", ""jest"", ""Grzegorz"", ""Kołodko"", ""."" ]";[0,0,0,0,1,2,0];[ 0, 0, 0, 0, 1, 2, 0 ]
"[ ""Szpital"", ""Three"", ""Rivers"", ""''"", ""/"", ""Undercover"", ""''"" ]";[3,4,4,0,0,3,0];[ 3, 4, 4, 0, 0, 3, 0 ]
"[ ""2012"", ""–"", ""11."", ""miejsce"" ]";[0,0,0,0];[ 5, 0, 0, 0 ]
"[ ""Robert"", ""Žulj"", "","", ""1:1"", ""("", ""90+4"", ""."", "")"" ]";[1,2,0,0,0,0,0,0];[ 1, 2, 0, 0, 0, 0, 0, 0 ]
"[ ""Kazimierz"", ""I"", ""kujawski"", "","", ""Eufrozyna"", ""opolska"" ]";[1,2,2,0,1,2];[ 1, 2, 2, 0, 1, 2 ]
"[ ""Leszek"", ""Moczulski"", ""został"", ""uhonorowany"", ""tytułem"", ""„Honorowego"", ""Przewodniczącego"", ""KPN”"", ""."" ]";[1,2,0,0,0,0,0,0,0];[ 1, 2, 0, 0, 0, 0, 0, 0, 0 ]
"[ ""Międzynarodowe"", ""Dni"", ""i"", ""Tygodnie"", ""ONZ"" ]";[3,4,4,4,4];[ 3, 4, 4, 4, 4 ]
"[ ""Jest"", ""wzorowany"", ""na"", ""podobnych"", "","", ""funkcjonujących"", ""w"", ""Deutsche"", ""Welle"", ""i"", ""BBC"", ""."" ]";[0,0,0,0,0,0,0,3,4,0,3,0];[ 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 3, 0 ]